Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,SO2,PM10,CO
01/01/1980,9,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,9,.,,,
01/02/1980,9,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,9,.,,,
01/03/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
01/04/1980,9,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,9,.,,,
01/05/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
01/06/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
01/07/1980,13,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,13,.,,,
01/08/1980,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,,,
01/09/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
01/10/1980,9,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,9,.,,,
01/11/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
01/12/1980,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,,,
01/13/1980,8,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,8,.,,,
01/14/1980,6,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,6,.,,,
01/15/1980,5,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,5,.,,,
01/16/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
01/17/1980,8,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,8,.,,,
01/18/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
01/19/1980,7,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,7,.,,,
01/20/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
